Indnum	Group	Activity	Units	Consumption	Quality_of_Life_Importance__1_10	solar powered  water heater	gas water heater	electric water heater - peak hours	electric water heater - off peak hours	gas	natural gas	hybrid	electric - peak hours	electric - off peak hours	Jet Fuel	waste management	CarbonFootprint
1	6	large items disposed	items	2.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0422
2	1	Household heating => 70F	count	7.0	77.0	0.0	0.0	0.0	0.0	0.0	0.000436	0.0	0.0	0.0	0.0	0.0	0.003052
2	1	Household heating < 70F	count	2.0	61.0	0.0	0.0	0.0	0.0	0.0	0.000872	0.0	0.0	0.0	0.0	0.0	0.001744
2	1	Use of heat pump	count	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	1	Use of air conditioner	count	15.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2	shower - short	count	7.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2	shower - long (> 3 min)	count	13.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2	bath	count	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2	wash-up	count	44.0	34.0	4e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000176
2	3	use of dishwasher	count	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	3	use of clothes washer	count	8.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	3	use of clothes dryer	count	4.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122	0.0	0.0	0.000488
2	3	use of cooking range	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000135	0.0	0.0	0.0
2	3	use of  oven	count	8.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0012
2	3	use of self-clean feature of electric oven	count	3.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	3	Small kitchen appliance in the home	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	4	TV/computer use	count	63.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	5	air travel - large plane	miles	2524.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0179	0.0	45.1796
2	5	air travel - small  plane (<50 seats)	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	5	car trips- self only	miles	273.0	43.0	0.0	0.0	0.0	0.0	0.000551	0.0	0.0	0.0	0.0	0.0	0.0	0.15042299999999997
2	5	car trips - driver and self	miles	19.0	30.0	0.0	0.0	0.0	0.0	0.000554	0.0	0.0	0.0	0.0	0.0	0.0	0.010526
2	5	car trips - 2+ people with multiple end points	miles	17.0	0.0	0.0	0.0	0.0	0.0	0.000354	0.0	0.0	0.0	0.0	0.0	0.0	0.006018
2	5	trips using public ground transportation	bags	12.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	6	bags of garbage disposed	bags	17.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	6	bags of recycling deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
2	6	bags of compost deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
2	6	hazardous or electric items disposed	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
2	6	large items disposed	items	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
3	1	Household heating => 70F	hours	3.0	64.0	0.0	0.0	0.0	0.0	0.0	0.000436	0.0	0.0	0.0	0.0	0.0	0.0013080000000000001
3	1	Household heating < 70F	hours	1.0	75.0	0.0	0.0	0.0	0.0	0.0	0.000872	0.0	0.0	0.0	0.0	0.0	0.000872
3	1	Use of heat pump	hours	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	1	Use of air conditioner	hours	16.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	2	shower - short	count	7.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	2	shower - long (> 3 min)	count	40.0	85.0	1.7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068
3	2	bath	count	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	2	wash-up	count	45.0	27.0	4e-06	4.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001035
3	3	use of dishwasher	count	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3	use of clothes washer	count	5.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3	use of clothes dryer	count	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3	use of cooking range	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3	use of  oven	count	10.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3	use of self-clean feature of electric oven	count	4.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3	Small kitchen appliance in the home	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	4	TV/computer use	count	64.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	5	air travel - large plane	miles	2653.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	5	air travel - small  plane (<50 seats)	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0408	0.0	0.0
3	5	car trips- self only	miles	260.0	60.0	0.0	0.0	0.0	0.0	0.000551	0.0	0.0	0.0	0.0	0.0	0.0	0.14326
3	5	car trips - driver and self	miles	35.0	19.0	0.0	0.0	0.0	0.0	0.000554	0.0	0.0	0.0	0.0	0.0	0.0	0.01939
3	5	car trips - 2+ people with multiple end points	miles	23.0	0.0	0.0	0.0	0.0	0.0	0.000354	0.0	0.0	0.0	0.0	0.0	0.0	0.008142
3	5	trips using public ground transportation	bags	13.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	6	bags of garbage disposed	bags	22.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	6	bags of recycling deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
3	6	bags of compost deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
3	6	hazardous or electric items disposed	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
3	6	large items disposed	items	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
4	1	Household heating => 70F	count	10.0	93.0	0.0	0.0	0.0	0.0	0.0	0.000436	0.0	0.0	0.0	0.0	0.0	0.00436
4	1	Household heating < 70F	count	4.0	73.0	0.0	0.0	0.0	0.0	0.0	0.000872	0.0	0.0	0.0	0.0	0.0	0.003488
4	1	Use of heat pump	count	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	1	Use of air conditioner	count	18.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	2	shower - short	count	5.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	2	shower - long (> 3 min)	count	12.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	2	bath	count	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	2	wash-up	count	35.0	36.0	0.0	4.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147
4	3	use of dishwasher	count	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	3	use of clothes washer	count	6.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	3	use of clothes dryer	count	2.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122	0.0	0.0	0.000244
4	3	use of cooking range	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000135	0.0	0.0	0.0
4	3	use of  oven	count	11.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0016499999999999998
4	3	use of self-clean feature of electric oven	count	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	3	Small kitchen appliance in the home	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4	TV/computer use	count	59.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	5	air travel - large plane	miles	3419.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	5	air travel - small  plane (<50 seats)	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	5	car trips- self only	miles	336.0	58.0	0.0	0.0	0.0	0.0	0.000551	0.0	0.0	0.0	0.0	0.0	0.0	0.185136
4	5	car trips - driver and self	miles	28.0	28.0	0.0	0.0	0.0	0.0	0.000554	0.0	0.0	0.0	0.0	0.0	0.0	0.015512000000000001
4	5	car trips - 2+ people with multiple end points	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.000354	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	5	trips using public ground transportation	bags	12.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	6	bags of garbage disposed	bags	27.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	6	bags of recycling deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
4	6	bags of compost deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
4	6	hazardous or electric items disposed	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
4	6	large items disposed	items	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
5	1	Household heating => 70F	hours	8.0	80.0	0.0	0.0	0.0	0.0	0.0	0.000436	0.0	0.0	0.0	0.0	0.0	0.003488
5	1	Household heating < 70F	hours	10.0	77.0	0.0	0.0	0.0	0.0	0.0	0.000872	0.0	0.0	0.0	0.0	0.0	0.00872
5	1	Use of heat pump	hours	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	1	Use of air conditioner	hours	14.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	2	shower - short	count	7.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	2	shower - long (> 3 min)	count	10.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	2	bath	count	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	2	wash-up	count	45.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	3	use of dishwasher	count	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	3	use of clothes washer	count	7.0	41.0	3.3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000102	0.0	0.0	0.0	0.0004725
5	3	use of clothes dryer	count	1.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	3	use of cooking range	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	3	use of  oven	count	12.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	3	use of self-clean feature of electric oven	count	2.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	3	Small kitchen appliance in the home	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	4	TV/computer use	count	64.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5	air travel - large plane	miles	3113.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0179	0.0	55.722699999999996
5	5	air travel - small  plane (<50 seats)	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0408	0.0	0.0
5	5	car trips- self only	miles	388.0	50.0	0.0	0.0	0.0	0.0	0.000551	0.0	0.0	0.0	0.0	0.0	0.0	0.21378799999999998
5	5	car trips - driver and self	miles	15.0	27.0	0.0	0.0	0.0	0.0	0.000554	0.0	0.0	0.0	0.0	0.0	0.0	0.00831
5	5	car trips - 2+ people with multiple end points	miles	15.0	0.0	0.0	0.0	0.0	0.0	0.000354	0.0	0.0	0.0	0.0	0.0	0.0	0.00531
5	5	trips using public ground transportation	bags	19.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	6	bags of garbage disposed	bags	17.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	6	bags of recycling deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
5	6	bags of compost deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
5	6	hazardous or electric items disposed	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
5	6	large items disposed	items	2.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0422
6	1	Household heating => 70F	count	6.0	63.0	0.0	0.0	0.0	0.0	0.0	0.000436	0.0	0.0	0.0	0.0	0.0	0.0026160000000000003
6	1	Household heating < 70F	count	3.0	75.0	0.0	0.0	0.0	0.0	0.0	0.000872	0.0	0.0	0.0	0.0	0.0	0.0026160000000000003
6	1	Use of heat pump	count	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	1	Use of air conditioner	count	14.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	2	shower - short	count	8.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	2	shower - long (> 3 min)	count	26.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	2	bath	count	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	2	wash-up	count	32.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	3	use of dishwasher	count	10.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	3	use of clothes washer	count	4.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	3	use of clothes dryer	count	2.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000132	0.000122	0.0	0.0	0.000254
6	3	use of cooking range	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000135	0.0	0.0	0.0
6	3	use of  oven	count	11.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0016499999999999998
6	3	use of self-clean feature of electric oven	count	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	3	Small kitchen appliance in the home	count	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	4	TV/computer use	count	59.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	5	air travel - large plane	miles	2021.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	5	air travel - small  plane (<50 seats)	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	5	car trips- self only	miles	267.0	45.0	0.0	0.0	0.0	0.0	0.000551	0.0	0.0	0.0	0.0	0.0	0.0	0.147117
6	5	car trips - driver and self	miles	21.0	34.0	0.0	0.0	0.0	0.0	0.000554	0.0	0.0	0.0	0.0	0.0	0.0	0.011634
6	5	car trips - 2+ people with multiple end points	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.000354	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	5	trips using public ground transportation	bags	14.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	6	bags of garbage disposed	bags	22.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	6	bags of recycling deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
6	6	bags of compost deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
6	6	hazardous or electric items disposed	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
6	6	large items disposed	items	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0211
7	1	Household heating => 70F	hours	5.0	85.0	0.0	0.0	0.0	0.0	0.0	0.000436	0.0	0.0	0.0	0.0	0.0	0.00218
7	1	Household heating < 70F	hours	1.0	72.0	0.0	0.0	0.0	0.0	0.0	0.000872	0.0	0.0	0.0	0.0	0.0	0.000872
7	1	Use of heat pump	hours	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	1	Use of air conditioner	hours	20.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	2	shower - short	count	3.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	2	shower - long (> 3 min)	count	23.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	2	bath	count	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	2	wash-up	count	37.0	44.0	4e-06	4.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000851
7	3	use of dishwasher	count	0.0	24.0	0.0	0.0	0.0	0.00031099999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	3	use of clothes washer	count	5.0	38.0	0.0	0.000199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000995
7	3	use of clothes dryer	count	4.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	3	use of cooking range	count	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	3	use of  oven	count	9.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	3	use of self-clean feature of electric oven	count	1.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	3	Small kitchen appliance in the home	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	4	TV/computer use	count	63.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	5	air travel - large plane	miles	3016.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	5	air travel - small  plane (<50 seats)	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0408	0.0	0.0
7	5	car trips- self only	miles	288.0	57.0	0.0	0.0	0.0	0.0	0.000551	0.0	0.0	0.0	0.0	0.0	0.0	0.158688
7	5	car trips - driver and self	miles	39.0	22.0	0.0	0.0	0.0	0.0	0.000554	0.0	0.0	0.0	0.0	0.0	0.0	0.021606
7	5	car trips - 2+ people with multiple end points	miles	11.0	0.0	0.0	0.0	0.0	0.0	0.000354	0.0	0.0	0.0	0.0	0.0	0.0	0.003894
7	5	trips using public ground transportation	bags	12.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	6	bags of garbage disposed	bags	18.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	6	bags of recycling deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
7	6	bags of compost deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
