Indnum	Household heating => 70F	Household heating < 70F	Use of heat pump	Use of air conditioner	shower - short	shower - long (> 3 min)	bath	wash-up	use of dishwasher	use of clothes washer	use of clothes dryer	use of cooking range	use of  oven	use of self-clean feature of electric oven	Small kitchen appliance in the home	TV/computer use	air travel - large plane	air travel - small  plane (<50 seats)	car trips- self only	car trips - driver and self	car trips - 2+ people with multiple end points	trips using public ground transportation	bags of garbage disposed	bags of recycling deposited (negative CF)	bags of compost deposited (negative CF)	hazardous or electric items disposed	large items disposed	QoLI
15	8.0	4.0	0.0	31.0	4.0	28.0	0.0	53.0	0.0	2.0	4.0	0.0	9.0	2.0	0.0	63.0	3180.0	0.0	282.0	11.0	0.0	15.0	26.0	0.0	0.0	0.0	0.0	6551.925925925926
16	5.0	5.0	0.0	28.0	7.0	28.0	0.0	43.0	0.0	4.0	3.0	0.0	11.0	3.0	0.0	60.0	2003.0	0.0	461.0	13.0	18.0	15.0	21.0	0.0	0.0	0.0	2.0	5026.222222222223
17	10.0	5.0	0.0	28.0	8.0	16.0	0.0	49.0	0.0	6.0	4.0	0.0	11.0	2.0	0.0	62.0	3972.0	0.0	419.0	20.0	0.0	12.0	22.0	0.0	0.0	3.0	2.0	8399.185185185184
18	10.0	9.0	0.0	29.0	8.0	24.0	7.0	38.0	0.0	7.0	2.0	0.0	12.0	4.0	0.0	61.0	2382.0	0.0	348.0	37.0	0.0	12.0	22.0	0.0	7.0	0.0	2.0	5464.148148148148
19	3.0	4.0	0.0	17.0	4.0	38.0	0.0	43.0	0.0	2.0	3.0	0.0	8.0	1.0	52.0	58.0	2501.0	0.0	301.0	31.0	30.0	19.0	23.0	0.0	0.0	0.0	2.0	4987.444444444444
20	1.0	2.0	0.0	14.0	7.0	37.0	5.0	51.0	0.0	2.0	2.0	0.0	11.0	1.0	53.0	64.0	2459.0	0.0	287.0	13.0	23.0	18.0	28.0	0.0	0.0	0.0	0.0	5232.740740740741
21	6.0	2.0	0.0	18.0	2.0	38.0	0.0	35.0	0.0	8.0	4.0	0.0	10.0	4.0	0.0	62.0	3515.0	0.0	315.0	25.0	0.0	16.0	20.0	0.0	0.0	0.0	0.0	6860.0
22	5.0	8.0	0.0	23.0	4.0	13.0	0.0	34.0	0.0	5.0	2.0	0.0	11.0	4.0	0.0	63.0	3300.0	0.0	404.0	32.0	0.0	16.0	18.0	0.0	8.0	0.0	2.0	6316.074074074074
23	3.0	5.0	0.0	19.0	4.0	12.0	0.0	42.0	0.0	6.0	3.0	0.0	10.0	3.0	0.0	58.0	2351.0	0.0	319.0	18.0	0.0	17.0	21.0	0.0	8.0	0.0	1.0	4675.2962962962965
24	3.0	1.0	0.0	31.0	5.0	38.0	0.0	51.0	12.0	6.0	3.0	0.0	10.0	4.0	0.0	60.0	3779.0	0.0	437.0	22.0	12.0	17.0	23.0	0.0	0.0	0.0	1.0	8464.222222222223
25	2.0	9.0	0.0	28.0	5.0	26.0	0.0	50.0	0.0	5.0	4.0	0.0	11.0	3.0	0.0	61.0	2060.0	0.0	266.0	16.0	0.0	14.0	22.0	0.0	0.0	0.0	2.0	4816.2962962962965
26	4.0	8.0	0.0	24.0	3.0	22.0	0.0	42.0	0.0	7.0	2.0	0.0	11.0	1.0	0.0	60.0	2221.0	0.0	449.0	33.0	14.0	19.0	17.0	0.0	0.0	0.0	0.0	5523.851851851852
27	6.0	3.0	0.0	16.0	3.0	25.0	0.0	33.0	0.0	2.0	1.0	0.0	12.0	2.0	0.0	59.0	2693.0	626.0	438.0	22.0	30.0	17.0	17.0	0.0	8.0	0.0	0.0	6280.62962962963
28	4.0	9.0	0.0	16.0	7.0	12.0	5.0	36.0	0.0	8.0	3.0	0.0	12.0	1.0	0.0	61.0	3820.0	0.0	321.0	24.0	24.0	18.0	25.0	0.0	2.0	0.0	2.0	7904.925925925926
29	4.0	8.0	0.0	22.0	4.0	34.0	4.0	35.0	0.0	2.0	2.0	0.0	11.0	1.0	0.0	61.0	2291.0	0.0	276.0	40.0	30.0	19.0	19.0	0.0	0.0	0.0	2.0	5036.7037037037035
30	5.0	4.0	0.0	19.0	2.0	10.0	0.0	50.0	0.0	6.0	1.0	0.0	12.0	2.0	0.0	58.0	2738.0	0.0	299.0	33.0	11.0	13.0	18.0	0.0	0.0	0.0	1.0	6096.518518518518
31	2.0	3.0	0.0	25.0	6.0	10.0	0.0	39.0	0.0	3.0	3.0	0.0	11.0	4.0	0.0	60.0	3105.0	0.0	455.0	27.0	0.0	13.0	20.0	0.0	0.0	0.0	2.0	6773.148148148148
32	7.0	8.0	0.0	27.0	2.0	31.0	0.0	44.0	0.0	8.0	4.0	0.0	8.0	4.0	0.0	58.0	3623.0	470.0	282.0	40.0	0.0	12.0	26.0	0.0	0.0	0.0	0.0	8035.962962962963
33	8.0	10.0	0.0	29.0	3.0	38.0	0.0	41.0	0.0	2.0	3.0	0.0	9.0	2.0	0.0	58.0	3246.0	0.0	370.0	31.0	13.0	15.0	21.0	0.0	6.0	0.0	2.0	6935.851851851852
34	10.0	6.0	0.0	28.0	4.0	22.0	0.0	34.0	0.0	8.0	2.0	0.0	11.0	1.0	0.0	58.0	3364.0	0.0	438.0	32.0	28.0	18.0	23.0	0.0	0.0	0.0	1.0	6573.481481481482
35	5.0	6.0	0.0	23.0	6.0	11.0	0.0	43.0	0.0	3.0	3.0	7.0	11.0	3.0	54.0	62.0	2067.0	0.0	442.0	31.0	29.0	13.0	20.0	0.0	0.0	0.0	0.0	4377.7037037037035
36	1.0	8.0	0.0	29.0	2.0	39.0	2.0	36.0	0.0	6.0	3.0	0.0	8.0	2.0	52.0	61.0	2024.0	0.0	271.0	40.0	0.0	13.0	22.0	0.0	0.0	0.0	0.0	4251.444444444444
37	8.0	2.0	0.0	13.0	7.0	37.0	0.0	51.0	0.0	8.0	2.0	0.0	9.0	2.0	0.0	64.0	3617.0	0.0	264.0	10.0	0.0	16.0	28.0	0.0	7.0	3.0	2.0	6529.185185185185
38	6.0	7.0	0.0	25.0	5.0	19.0	0.0	55.0	0.0	2.0	1.0	0.0	12.0	3.0	0.0	63.0	3355.0	0.0	439.0	12.0	0.0	18.0	19.0	0.0	0.0	0.0	1.0	7410.111111111111
39	9.0	8.0	0.0	22.0	2.0	39.0	0.0	51.0	0.0	3.0	1.0	0.0	8.0	1.0	0.0	59.0	3450.0	0.0	330.0	24.0	0.0	13.0	17.0	0.0	4.0	0.0	0.0	7172.62962962963
40	3.0	9.0	0.0	27.0	7.0	29.0	0.0	54.0	0.0	4.0	2.0	0.0	9.0	2.0	0.0	62.0	3410.0	0.0	286.0	35.0	0.0	14.0	25.0	0.0	4.0	0.0	2.0	6820.740740740741
41	6.0	10.0	0.0	15.0	5.0	26.0	0.0	37.0	0.0	7.0	4.0	0.0	10.0	2.0	0.0	62.0	3153.0	0.0	287.0	28.0	0.0	16.0	17.0	0.0	0.0	0.0	2.0	6121.222222222223
42	9.0	10.0	0.0	22.0	4.0	29.0	0.0	33.0	0.0	3.0	2.0	0.0	11.0	4.0	0.0	63.0	2785.0	0.0	362.0	21.0	11.0	14.0	23.0	0.0	0.0	0.0	1.0	6236.222222222223
43	3.0	1.0	0.0	27.0	2.0	30.0	0.0	53.0	0.0	3.0	4.0	0.0	10.0	3.0	0.0	63.0	3314.0	0.0	339.0	16.0	0.0	17.0	18.0	0.0	0.0	0.0	2.0	6020.62962962963
44	5.0	3.0	0.0	24.0	3.0	14.0	0.0	37.0	13.0	4.0	4.0	0.0	9.0	3.0	50.0	63.0	3010.0	0.0	299.0	40.0	0.0	15.0	23.0	0.0	0.0	0.0	2.0	5728.740740740741
45	9.0	4.0	0.0	28.0	6.0	13.0	0.0	53.0	0.0	8.0	3.0	0.0	9.0	3.0	0.0	61.0	3082.0	0.0	285.0	23.0	0.0	14.0	28.0	0.0	0.0	0.0	2.0	6677.888888888889
46	7.0	9.0	0.0	13.0	7.0	13.0	0.0	53.0	0.0	6.0	1.0	0.0	11.0	2.0	0.0	58.0	3444.0	0.0	359.0	10.0	0.0	14.0	20.0	0.0	0.0	0.0	0.0	6630.666666666667
47	10.0	1.0	0.0	23.0	8.0	40.0	6.0	33.0	0.0	7.0	1.0	0.0	8.0	4.0	0.0	63.0	2057.0	0.0	452.0	26.0	19.0	18.0	17.0	0.0	0.0	2.0	0.0	5143.148148148148
48	8.0	6.0	0.0	15.0	4.0	40.0	0.0	41.0	0.0	3.0	1.0	0.0	9.0	2.0	0.0	60.0	3218.0	0.0	347.0	26.0	0.0	17.0	26.0	0.0	0.0	0.0	1.0	7172.037037037037
49	4.0	6.0	0.0	32.0	7.0	20.0	0.0	44.0	0.0	5.0	4.0	0.0	12.0	4.0	0.0	64.0	2506.0	0.0	268.0	32.0	0.0	12.0	23.0	0.0	0.0	0.0	0.0	5416.777777777777
50	1.0	10.0	0.0	14.0	3.0	30.0	0.0	46.0	0.0	4.0	3.0	0.0	11.0	3.0	0.0	62.0	2212.0	0.0	446.0	17.0	18.0	15.0	27.0	0.0	0.0	0.0	2.0	5105.7037037037035
51	8.0	4.0	0.0	16.0	7.0	16.0	0.0	49.0	0.0	6.0	2.0	0.0	10.0	4.0	0.0	58.0	3414.0	0.0	352.0	20.0	10.0	15.0	20.0	0.0	6.0	0.0	1.0	6989.962962962963
52	2.0	3.0	-1.0	25.0	2.0	20.0	0.0	43.0	0.0	4.0	1.0	0.0	11.0	1.0	0.0	64.0	3794.0	685.0	410.0	29.0	0.0	14.0	18.0	0.0	4.0	0.0	1.0	8794.555555555555
53	10.0	3.0	0.0	24.0	7.0	18.0	0.0	51.0	0.0	4.0	4.0	0.0	11.0	2.0	0.0	60.0	2304.0	0.0	334.0	23.0	0.0	18.0	19.0	0.0	0.0	0.0	0.0	5152.407407407408
54	8.0	9.0	0.0	19.0	7.0	35.0	0.0	35.0	0.0	3.0	1.0	0.0	8.0	2.0	0.0	61.0	3621.0	0.0	262.0	21.0	0.0	19.0	22.0	0.0	0.0	0.0	1.0	7417.925925925926
55	5.0	3.0	0.0	16.0	4.0	16.0	0.0	50.0	0.0	2.0	2.0	0.0	12.0	4.0	0.0	59.0	3663.0	0.0	381.0	16.0	0.0	16.0	21.0	0.0	0.0	0.0	0.0	6605.518518518518
56	2.0	3.0	0.0	12.0	3.0	18.0	0.0	47.0	0.0	5.0	1.0	0.0	10.0	4.0	61.0	63.0	3217.0	0.0	334.0	25.0	19.0	19.0	22.0	0.0	0.0	0.0	0.0	6284.814814814815
57	6.0	6.0	0.0	26.0	3.0	26.0	0.0	51.0	0.0	5.0	1.0	0.0	10.0	4.0	0.0	62.0	2111.0	0.0	354.0	16.0	24.0	12.0	17.0	0.0	0.0	0.0	0.0	5141.185185185185
58	9.0	6.0	0.0	32.0	7.0	35.0	0.0	55.0	0.0	5.0	2.0	0.0	12.0	1.0	0.0	61.0	2899.0	0.0	330.0	40.0	0.0	12.0	18.0	0.0	5.0	0.0	2.0	6669.185185185185
59	9.0	8.0	0.0	13.0	6.0	25.0	0.0	55.0	0.0	3.0	1.0	0.0	9.0	2.0	0.0	64.0	3361.0	0.0	383.0	16.0	0.0	12.0	24.0	0.0	0.0	0.0	1.0	7356.333333333333
60	9.0	8.0	0.0	16.0	8.0	26.0	0.0	52.0	0.0	2.0	1.0	0.0	11.0	4.0	60.0	63.0	3101.0	0.0	425.0	14.0	12.0	19.0	21.0	0.0	0.0	0.0	0.0	6192.518518518518
61	7.0	1.0	0.0	23.0	4.0	21.0	0.0	33.0	0.0	4.0	1.0	0.0	12.0	3.0	0.0	61.0	3243.0	0.0	424.0	27.0	28.0	15.0	18.0	0.0	0.0	0.0	0.0	6961.037037037037
62	7.0	10.0	-5.0	19.0	2.0	39.0	0.0	33.0	0.0	4.0	4.0	0.0	8.0	2.0	0.0	59.0	2507.0	0.0	400.0	39.0	0.0	17.0	27.0	7.0	0.0	2.0	1.0	5808.2962962962965
63	4.0	10.0	0.0	32.0	3.0	40.0	0.0	36.0	0.0	7.0	2.0	0.0	9.0	2.0	0.0	62.0	2570.0	0.0	316.0	31.0	16.0	12.0	28.0	0.0	7.0	0.0	0.0	4898.0
64	3.0	8.0	0.0	16.0	4.0	20.0	0.0	33.0	0.0	4.0	1.0	0.0	10.0	1.0	0.0	63.0	2236.0	0.0	352.0	29.0	25.0	19.0	21.0	0.0	0.0	0.0	2.0	4578.851851851852
65	10.0	3.0	0.0	26.0	8.0	23.0	3.0	54.0	0.0	2.0	2.0	0.0	9.0	3.0	0.0	63.0	3722.0	0.0	392.0	11.0	0.0	15.0	21.0	0.0	0.0	0.0	0.0	6998.2962962962965
66	4.0	10.0	0.0	19.0	8.0	19.0	0.0	39.0	0.0	2.0	4.0	0.0	8.0	4.0	61.0	59.0	3901.0	0.0	454.0	30.0	0.0	18.0	25.0	0.0	3.0	0.0	2.0	8032.777777777777
67	9.0	8.0	0.0	31.0	5.0	24.0	0.0	49.0	0.0	5.0	3.0	0.0	10.0	1.0	0.0	62.0	2894.0	0.0	434.0	35.0	26.0	17.0	27.0	0.0	0.0	0.0	0.0	6097.740740740741
68	7.0	6.0	0.0	28.0	6.0	33.0	0.0	49.0	0.0	6.0	3.0	0.0	10.0	3.0	0.0	63.0	3392.0	0.0	381.0	26.0	30.0	13.0	25.0	0.0	0.0	0.0	1.0	6903.037037037037
69	2.0	4.0	0.0	16.0	7.0	15.0	0.0	39.0	0.0	6.0	3.0	0.0	10.0	1.0	0.0	60.0	2908.0	0.0	352.0	31.0	0.0	16.0	23.0	0.0	0.0	0.0	2.0	5887.518518518518
70	1.0	1.0	0.0	20.0	7.0	13.0	0.0	32.0	0.0	7.0	4.0	0.0	11.0	1.0	0.0	62.0	2500.0	0.0	352.0	40.0	0.0	12.0	28.0	0.0	0.0	0.0	0.0	5179.777777777777
71	2.0	3.0	0.0	15.0	7.0	30.0	0.0	54.0	0.0	3.0	2.0	0.0	9.0	4.0	0.0	62.0	2328.0	0.0	313.0	15.0	0.0	19.0	22.0	0.0	0.0	0.0	2.0	4728.851851851852
72	4.0	2.0	0.0	19.0	5.0	25.0	0.0	33.0	0.0	2.0	2.0	0.0	12.0	3.0	0.0	61.0	3202.0	0.0	382.0	20.0	0.0	16.0	18.0	0.0	0.0	0.0	2.0	6012.222222222223
73	2.0	3.0	0.0	24.0	4.0	26.0	0.0	42.0	0.0	6.0	4.0	0.0	11.0	1.0	0.0	64.0	2624.0	0.0	347.0	24.0	17.0	12.0	22.0	0.0	2.0	0.0	2.0	5576.851851851852
74	10.0	1.0	0.0	13.0	2.0	17.0	0.0	46.0	0.0	8.0	4.0	7.0	12.0	1.0	0.0	60.0	3447.0	0.0	340.0	32.0	0.0	14.0	27.0	0.0	5.0	0.0	0.0	7585.407407407408
75	4.0	10.0	0.0	23.0	6.0	38.0	0.0	48.0	0.0	2.0	2.0	0.0	8.0	1.0	0.0	60.0	2912.0	0.0	280.0	37.0	25.0	12.0	19.0	0.0	0.0	0.0	1.0	6318.333333333333
76	8.0	5.0	0.0	20.0	8.0	31.0	0.0	37.0	0.0	2.0	1.0	0.0	8.0	4.0	0.0	58.0	3688.0	0.0	456.0	40.0	0.0	12.0	28.0	0.0	0.0	0.0	2.0	7708.814814814815
77	1.0	3.0	0.0	12.0	3.0	29.0	0.0	41.0	0.0	7.0	2.0	0.0	8.0	1.0	0.0	63.0	3449.0	0.0	299.0	24.0	30.0	13.0	18.0	0.0	8.0	2.0	1.0	7371.962962962963
78	9.0	1.0	0.0	21.0	6.0	14.0	0.0	36.0	0.0	3.0	2.0	0.0	11.0	3.0	0.0	59.0	3987.0	0.0	325.0	22.0	0.0	19.0	18.0	0.0	0.0	0.0	2.0	8447.888888888889
79	3.0	7.0	0.0	19.0	7.0	27.0	0.0	52.0	16.0	3.0	1.0	0.0	10.0	1.0	0.0	62.0	3075.0	0.0	327.0	37.0	25.0	18.0	21.0	0.0	0.0	0.0	1.0	5882.888888888889
80	4.0	10.0	0.0	18.0	4.0	11.0	0.0	34.0	0.0	8.0	4.0	0.0	10.0	4.0	0.0	60.0	3711.0	0.0	281.0	35.0	0.0	13.0	20.0	0.0	0.0	0.0	2.0	7770.740740740741
81	1.0	7.0	0.0	18.0	8.0	28.0	0.0	43.0	0.0	8.0	4.0	0.0	11.0	1.0	0.0	61.0	3613.0	0.0	442.0	11.0	28.0	18.0	22.0	0.0	0.0	0.0	2.0	8107.592592592592
82	4.0	3.0	0.0	28.0	8.0	23.0	0.0	45.0	0.0	6.0	4.0	0.0	9.0	4.0	0.0	62.0	2439.0	0.0	345.0	23.0	20.0	13.0	27.0	0.0	6.0	0.0	2.0	5146.518518518518
83	5.0	9.0	0.0	22.0	5.0	21.0	3.0	51.0	0.0	8.0	1.0	0.0	10.0	3.0	0.0	59.0	2422.0	0.0	338.0	28.0	0.0	18.0	19.0	0.0	0.0	1.0	0.0	5149.037037037037
84	3.0	4.0	0.0	15.0	4.0	17.0	0.0	48.0	0.0	6.0	1.0	0.0	10.0	4.0	61.0	62.0	3592.0	0.0	336.0	23.0	26.0	15.0	21.0	0.0	0.0	0.0	2.0	7662.111111111111
85	6.0	6.0	0.0	15.0	4.0	29.0	0.0	46.0	0.0	8.0	2.0	0.0	11.0	1.0	0.0	63.0	2862.0	0.0	397.0	27.0	18.0	19.0	17.0	0.0	0.0	0.0	0.0	5580.666666666667
86	5.0	1.0	-1.0	24.0	2.0	20.0	0.0	49.0	0.0	3.0	1.0	0.0	9.0	1.0	0.0	61.0	2289.0	0.0	409.0	10.0	18.0	14.0	27.0	0.0	0.0	0.0	1.0	5534.407407407408
87	5.0	8.0	-3.0	12.0	5.0	10.0	0.0	40.0	0.0	8.0	1.0	0.0	8.0	4.0	0.0	64.0	3005.0	0.0	424.0	32.0	0.0	18.0	22.0	0.0	0.0	0.0	0.0	6434.962962962963
88	2.0	6.0	0.0	15.0	5.0	27.0	0.0	48.0	0.0	7.0	3.0	0.0	11.0	4.0	0.0	60.0	2529.0	0.0	407.0	34.0	0.0	12.0	24.0	0.0	0.0	0.0	0.0	5099.592592592592
89	3.0	4.0	0.0	22.0	2.0	37.0	0.0	42.0	0.0	7.0	3.0	0.0	10.0	2.0	0.0	61.0	3180.0	0.0	462.0	27.0	0.0	12.0	18.0	0.0	0.0	0.0	1.0	6848.074074074074
90	10.0	3.0	0.0	13.0	8.0	34.0	0.0	38.0	0.0	5.0	4.0	0.0	10.0	2.0	0.0	61.0	2036.0	0.0	433.0	40.0	0.0	15.0	25.0	4.0	0.0	0.0	0.0	4969.37037037037
91	6.0	5.0	0.0	14.0	6.0	34.0	0.0	36.0	0.0	5.0	2.0	0.0	11.0	2.0	0.0	63.0	3041.0	0.0	387.0	32.0	17.0	18.0	22.0	0.0	0.0	0.0	1.0	6918.481481481482
92	7.0	3.0	0.0	26.0	7.0	28.0	0.0	40.0	0.0	5.0	3.0	0.0	9.0	4.0	0.0	60.0	2241.0	0.0	390.0	21.0	18.0	18.0	25.0	0.0	0.0	0.0	0.0	4869.222222222223
93	8.0	1.0	0.0	16.0	7.0	12.0	0.0	52.0	0.0	6.0	1.0	0.0	9.0	2.0	0.0	64.0	2166.0	0.0	367.0	20.0	0.0	19.0	25.0	0.0	0.0	1.0	0.0	4816.7037037037035
94	4.0	2.0	-2.0	25.0	2.0	26.0	0.0	36.0	0.0	4.0	2.0	0.0	12.0	2.0	0.0	63.0	3130.0	0.0	356.0	21.0	0.0	17.0	18.0	0.0	0.0	0.0	0.0	5982.407407407408
95	2.0	9.0	0.0	26.0	5.0	25.0	0.0	53.0	0.0	3.0	4.0	0.0	10.0	2.0	0.0	59.0	3758.0	0.0	279.0	12.0	0.0	14.0	27.0	0.0	0.0	0.0	2.0	6735.111111111111
96	10.0	4.0	0.0	29.0	8.0	28.0	0.0	55.0	20.0	7.0	2.0	0.0	10.0	2.0	0.0	58.0	2492.0	0.0	310.0	30.0	0.0	12.0	28.0	0.0	3.0	0.0	0.0	5129.2962962962965
97	10.0	3.0	-1.0	15.0	2.0	20.0	0.0	36.0	0.0	4.0	1.0	0.0	9.0	1.0	0.0	63.0	2347.0	0.0	419.0	19.0	0.0	17.0	23.0	0.0	0.0	0.0	1.0	5376.851851851852
98	2.0	4.0	0.0	20.0	6.0	13.0	0.0	53.0	0.0	4.0	2.0	0.0	9.0	4.0	0.0	59.0	3615.0	0.0	324.0	17.0	0.0	18.0	23.0	0.0	8.0	0.0	1.0	6899.37037037037
99	4.0	1.0	0.0	24.0	5.0	35.0	0.0	41.0	0.0	2.0	3.0	0.0	8.0	4.0	0.0	63.0	3163.0	0.0	437.0	14.0	0.0	12.0	20.0	0.0	3.0	1.0	2.0	6437.0
100	5.0	3.0	0.0	15.0	7.0	28.0	0.0	48.0	0.0	6.0	1.0	0.0	12.0	4.0	0.0	62.0	3504.0	491.0	300.0	26.0	0.0	13.0	17.0	0.0	0.0	0.0	2.0	7274.259259259259
101	5.0	10.0	0.0	16.0	2.0	29.0	0.0	41.0	0.0	5.0	4.0	0.0	9.0	2.0	0.0	62.0	3945.0	0.0	357.0	27.0	11.0	19.0	27.0	0.0	0.0	0.0	0.0	7522.444444444444
102	6.0	10.0	0.0	13.0	4.0	36.0	0.0	50.0	10.0	2.0	4.0	0.0	12.0	2.0	0.0	59.0	2280.0	0.0	387.0	32.0	30.0	15.0	27.0	0.0	0.0	0.0	1.0	4755.851851851852
103	6.0	1.0	0.0	17.0	7.0	38.0	0.0	54.0	0.0	8.0	1.0	0.0	12.0	2.0	0.0	59.0	2357.0	0.0	374.0	23.0	0.0	15.0	27.0	0.0	0.0	0.0	2.0	5098.740740740741
104	3.0	9.0	0.0	15.0	4.0	17.0	0.0	43.0	0.0	3.0	3.0	0.0	11.0	1.0	0.0	63.0	3630.0	610.0	330.0	40.0	0.0	19.0	24.0	0.0	0.0	0.0	0.0	7820.666666666667
105	4.0	6.0	0.0	25.0	5.0	13.0	0.0	44.0	0.0	5.0	2.0	0.0	12.0	2.0	0.0	64.0	3328.0	0.0	308.0	22.0	27.0	14.0	18.0	0.0	0.0	0.0	0.0	6090.851851851852
106	1.0	3.0	0.0	18.0	7.0	11.0	0.0	39.0	0.0	4.0	3.0	0.0	10.0	4.0	0.0	64.0	2332.0	0.0	385.0	34.0	0.0	17.0	27.0	0.0	7.0	0.0	0.0	4763.962962962963
107	4.0	6.0	0.0	22.0	4.0	19.0	0.0	37.0	0.0	3.0	3.0	0.0	9.0	1.0	0.0	58.0	2545.0	0.0	333.0	11.0	0.0	15.0	25.0	0.0	0.0	0.0	1.0	5504.925925925926
108	5.0	7.0	0.0	28.0	4.0	35.0	0.0	34.0	0.0	5.0	3.0	0.0	10.0	3.0	0.0	59.0	2298.0	0.0	374.0	37.0	24.0	14.0	22.0	0.0	0.0	0.0	2.0	4797.0
109	9.0	9.0	0.0	17.0	3.0	27.0	0.0	36.0	0.0	6.0	2.0	0.0	9.0	4.0	0.0	62.0	3859.0	0.0	457.0	35.0	0.0	14.0	20.0	0.0	0.0	1.0	0.0	8121.481481481482
110	2.0	6.0	0.0	12.0	8.0	40.0	0.0	47.0	0.0	7.0	3.0	0.0	8.0	1.0	0.0	64.0	3803.0	0.0	414.0	15.0	0.0	18.0	19.0	7.0	0.0	0.0	0.0	7808.62962962963
111	5.0	2.0	0.0	16.0	8.0	35.0	0.0	42.0	0.0	7.0	4.0	0.0	9.0	1.0	0.0	64.0	2887.0	0.0	284.0	38.0	29.0	14.0	24.0	0.0	0.0	0.0	2.0	5752.777777777777
112	3.0	5.0	0.0	32.0	3.0	27.0	0.0	45.0	0.0	5.0	1.0	0.0	11.0	1.0	0.0	64.0	2725.0	0.0	339.0	23.0	0.0	12.0	27.0	0.0	0.0	0.0	1.0	5399.814814814815
113	10.0	2.0	0.0	24.0	5.0	12.0	0.0	34.0	0.0	5.0	3.0	0.0	8.0	2.0	50.0	62.0	2461.0	0.0	342.0	27.0	0.0	16.0	17.0	0.0	0.0	0.0	0.0	4897.111111111111
